id,src_len,source,reference,hypothesis,bleu
13,13,Leute in den 20ern wie Alex und ich hatten nichts als Zeit .,Twentysomethings like Alex and I had nothing but time .,"people in the , and i had nothing as a time .",10.13
14,15,"Aber bald drängte mich mein Betreuer , Alex ' Liebesleben in Frage zu stellen .","But before long , my supervisor pushed me to push Alex about her love life .","but soon , me to my caregiver , let 's ask my question .",6.19
15,4,Ich hielt dagegen .,I pushed back .,i taught .,19.72
16,30,"Ich sagte : "" Ja klar , sie trifft sich mit Männern unter ihrem Niveau , sie schläft mit einem Schwachkopf , aber sie wird ihn nicht heiraten . ""","I said , "" Sure , she 's dating down , she 's sleeping with a knucklehead , but it 's not like she 's going to marry the guy . ""","i said , "" yeah , she talked about men with her her , she agreed with a , but she wo n't marry him . """,8.78
17,17,"Und da sagte mein Betreuer : "" Noch nicht , aber vielleicht heiratet sie den nächsten .","And then my supervisor said , "" Not yet , but she might marry the next one .","and i said , "" not yet , but better better the next .",15.63
18,20,"Außerdem ist die beste Zeit an Alex ' Ehe zu arbeiten , die , bevor sie verheiratet ist . ""","Besides , the best time to work on Alex 's marriage is before she has one . ""","also , the best time to work on marriage is even before married married . """,40.41
19,10,"Das ist es , was Psychologen einen Aha-Moment nennen .","That 's what psychologists call an "" Aha ! "" moment .",this is what psychologists called a .,7.12
20,19,"Das war der Moment , in dem mir bewusst wurde , dass 30 nicht die neuen 20 sind .","That was the moment I realized , 30 is not the new 20 .",that was the moment that i realized that 30 is the new 20 .,29.42
21,22,"Ja , die Leute lassen sich später häuslich nieder als früher , aber das machte Alex ' 20er nicht zum Entwicklungsausfall .","Yes , people settle down later than they used to , but that did n't make Alex 's 20s a developmental downtime .","yes , people were later about once than they did n't do n't . .",5.74
22,16,Das machte Alex ' 20er zur optimalen Entwicklungszeit und wir saßen da und verschwendeten sie .,"That made Alex 's 20s a developmental sweet spot , and we were sitting there blowing it .",made alex up the the and and we sat there .,4.99
23,41,"Da wurde mir klar , dass diese Art von harmloser Vernachlässigung ein ernsthaftes Problem mit realen Konsequenzen war . Nich nur für Alex und ihr Liebesleben , sondern für die Karrieren , Familien und Aussichten aller Leute in den 20ern .","That was when I realized that this sort of benign neglect was a real problem , and it had real consequences , not just for Alex and her love life but for the careers and the families and the futures of twentysomethings everywhere .","since i realized that this kind of a has a problem with real consequences , just for and , and her , , but for for the , families and all the people in the .",9.04
24,16,Zu diesem Zeitpunkt gibt es in den Vereinigten Staaten 50 Millionen Leute in den 20ern .,There are 50 million twentysomethings in the United States right now .,there is a 50 million people in the united states .,10.23
25,30,"Wir reden über etwa 15 % der Bevölkerung , oder 100 % , wenn man bedenkt , dass keiner das Erwachsenenalter erreicht , ohne durch die 20er zu gehen .","We 're talking about 15 percent of the population , or 100 percent if you consider that no one 's getting through adulthood without going through their 20s first .","we 're talking about about 15 percent of percent , or 100 percent when you expect that nobody has done to go through the . .",20.62
26,10,"Meldet euch , wenn ihr in euren 20ern seid .",Raise your hand if you 're in your 20s .,watch if you 're in your . .,42.14
27,8,Ich möchte ein paar von euch sehen .,I really want to see some twentysomethings here .,i want to see you .,19.69
28,9,"Oh , yeah ! Ihr seid alle unglaublich .","Oh , yay ! Y'all 's awesome .","oh , yeah ! you 're all amazing .",6.27
29,37,"Wenn ihr mit jemanden in den 20ern arbeitet , einen liebt , wegen einem in den 20ern Schlaf verliert , ich möchte euch sehen ... O.k . Großartig . Leute in den 20ern sind wirklich wichtig .","If you work with twentysomethings , you love a twentysomething , you 're losing sleep over twentysomethings , I want to see — Okay . Awesome , twentysomethings really matter .","if you get in in the crowd , you know , one woman in the , , i want to see you . . great . people .",6.99
30,66,"Mein Spezialgebiet sind Leute in den 20ern , denn ich glaube , dass jeder einzelne dieser 50 Millionen wissen sollte , was Psychologen Soziologen , Neurologen und Fruchtbarkeitsspezialisten längst wissen : die Einforderung der 20er ist eines der einfachsten und doch umwälzendsten Dinge , die man machen kann für die Arbeit , für die Liebe , für das Glück , vielleicht sogar für die Welt .","So I specialize in twentysomethings because I believe that every single one of those 50 million twentysomethings deserves to know what psychologists , sociologists , neurologists and fertility specialists already know : that claiming your 20s is one of the simplest , yet most transformative , things you can do for work , for love , for your happiness , maybe even for the world .","my favorite are in in the , because i believe every single one of these 50 to know what psychologists psychologists , scientists , and and and : : the the of of of the , and and things things that you can do for for work , for for",16.39
31,10,Dies ist nicht meine Meinung . Das sind Fakten .,This is not my opinion . These are the facts .,it 's not my opinion .,22.08
32,17,"Wir wissen , dass 80 % der prägendsten Momente , in der Zeit bis 35 passieren .",We know that 80 percent of life 's most defining moments take place by age 35 .,we know that 80 percent of percent moments in time to 35 .,25.28
33,35,"Das bedeutet , dass 8 von 10 Entscheidungen , Erfahrungen und Aha-Erlebnissen , die aus eurem Leben , das machen , was es ist , bis ihr Mitte 30 seid , schon passiert sind .","That means that eight out of 10 of the decisions and experiences and "" Aha ! "" moments that make your life what it is will have happened by your mid-30s .","that means that eight of 10 decisions , and and and , that out of your life , what it is , until your 30 , are are .",10.99
34,10,"Werdet nicht panisch , wenn ihr über 40 seid .","People who are over 40 , do n't panic .",do n't know if you 're over 40 .,12.76
35,10,"Dieser Gruppe wird es gut gehen , glaube ich .","This crowd is going to be fine , I think .","that 's will be well , i believe .",5.02
36,23,"Wir wissen , dass die ersten 10 Jahre eines Berufes eine exponentielle Auswirkung darauf haben , wie viel Geld man verdienen wird .",We know that the first 10 years of a career has an exponential impact on how much money you 're going to earn .,we know that first 10 10 years of a tremendous impact impact on how much money money .,28.17
37,25,"Wir wissen , dass mit 30 mehr als die Hälfte der Amerikaner verheiratet ist oder mit dem zukünftigen Partner zusammenlebt oder eine Beziehung hat .",We know that more than half of Americans are married or are living with or dating their future partner by 30 .,we know that 30 30 half the americans of americans are or or to the or partner .,5.14
38,45,"Wir wissen , dass das Gehirn sein zweites und letztes großes Wachsen in den 20ern abschließt und sich für das Erwachsenenalter verdrahtet , was bedeutet , dass was auch immer ihr an euch verändern wollt , jetzt die Zeit wäre , dies zu tun .","We know that the brain caps off its second and last growth spurt in your 20s as it rewires itself for adulthood , which means that whatever it is you want to change about yourself , now is the time to change it .","we know that brain brain is and and large large in in the the , , and the to the , , which means whatever you might want to change you now , time time to do this .",7.86
39,37,"Wir wissen , dass die Persönlichkeit sich während der 20er öfter verändert als irgendwann sonst im Leben und dass die Fruchtbarkeit der Frauen mit 28 ihren Höhepunkt erreicht und dass nach 35 die Dinge kompliziert werden .","We know that personality changes more during your 20s than at any other time in life , and we know that female fertility peaks at age 28 , and things get tricky after age 35 .",we know that personalities are during the average percentage than than in the life and and the the of women with with their peak and and after 35 .,5.89
40,16,In den 20ern sollte man sich also weiterbilden über den Körper und die eigenen Möglichkeiten .,So your 20s are the time to educate yourself about your body and your options .,so the you should feel about about the body and your own possibilities .,10.9
41,27,"Wenn wir an die Entwicklung eines Kindes denken , wissen wir alle , dass die ersten 5 Jahre für Spracherwerb und Bindung im Gehirn entscheidend sind .","So when we think about child development , we all know that the first five years are a critical period for language and attachment in the brain .","if we think about the development of a child , we all know that the first five years for five years and the in the brain .",44.47
42,20,"Es ist die Zeit , in der das gewöhnliche , alltägliche Leben einen übermäßigen Einfluss auf die Zukunft hat .","It 's a time when your ordinary , day - to - day life has an inordinate impact on who you will become .",it 's time time in which the life life an impact impact on the future .,4.06
43,23,"Aber wir hören wenig darüber , dass es da so etwas gibt wie Erwachsenen-Entwicklung und unsere 20er eine ausschlaggebende Zeit dafür sind .","But what we hear less about is that there 's such a thing as adult development , and our 20s are that critical period of adult development .",but we hear hear that there are such such as and and and our our are are . .,4.96
44,11,Aber das bekommen Leute in den 20ern nicht zu hören .,But this is n't what twentysomethings are hearing .,but you ca n't hear people in the .,5.67
45,9,Die Presse redet über die Zeitverschiebung des Erwachsenwerdens .,Newspapers talk about the changing timetable of adulthood .,the press spoke about the . .,10.92
46,8,Wissenschaftler nennen die 20er eine verlängerte Pubertät .,Researchers call the 20s an extended adolescence .,scientists call the hero . .,12.87
47,23,"Journalisten denken sich dumme Spitznamen für Leute in den 20ern aus wie "" Twixters "" oder "" Kidults "" [ Kind-Erwachsene ] .","Journalists coin silly nicknames for twentysomethings like "" twixters "" and "" kidults . ""","journalists remember for people people in the the like "" "" "" or "" "" . """,7.44
48,3,Das stimmt .,It 's true .,that 's true .,59.46
49,17,"Als Kultur haben wir das trivialisiert , was jetzt das entscheidende Jahrzehnt für das Erwachsenwerden ist .","As a culture , we have trivialized what is actually the defining decade of adulthood .","as a culture , we have the what the critical decade is . .",27.41
50,18,"Leonard Bernstein meinte , dass große Dinge mit einem Plan und etwas zu wenig Zeit erreicht werden .","Leonard Bernstein said that to achieve great things , you need a plan and not quite enough time .",and public meant that great things come with a a little bit little bit time .,6.6
51,4,Stimmt das nicht ?,Is n't that true ?,right ?,11.16
52,32,"Was passiert also , wenn man jemandem in den 20ern den Kopf tätschelt und sagt : "" Du bekommst 10 Jahre zusätzlich , um etwas aus deinem Leben zu machen "" ?","So what do you think happens when you pat a twentysomething on the head and you say , "" You have 10 extra years to start your life "" ?","so what happens when you put somebody in the the head head and says , "" you 're 10 10 years to make something out of life life ?",9.11
53,3,Gar nichts .,Nothing happens .,nothing .,30.33
54,17,Dieser Mensch ist der Ambition und der Dringlichkeit beraubt worden . und es passiert gar nichts .,"You have robbed that person of his urgency and ambition , and absolutely nothing happens .",this guy is the and and the . .,2.88
55,56,"Und so kommen jeden Tag intelligente , interessante Leute in den 20ern wie ihr oder wie eure Söhne und Töchter zu mir in mein Büro und sagen so etwas wie : "" Ich weiß , mein Freund tut mir nicht gut , aber diese Beziehung zählt nicht . Ich schlage bloß die Zeit tot . ""","And then every day , smart , interesting twentysomethings like you or like your sons and daughters come into my office and say things like this : "" I know my boyfriend 's no good for me , but this relationship does n't count . I 'm just killing time . ""","and so every day day , interesting people in the the like like , like your sons sons and daughters to me office and say me something like , "" i know , my friend does n't good good , but i do n't think about the time . """,10.2
56,27,"Oder sie sagen : "" Alle sagen , solange ich es mit 30 Jahren geschafft habe , meine Karriere zu starten , ist alles gut . ""","Or they say , "" Everybody says as long as I get started on a career by the time I 'm 30 , I 'll be fine . ""","or they say say , "" i say , as i learned 30 30 years to my career , everything is good . """,7.64
57,20,"Aber später hört es sich so an : "" Meine 20er sind fast vorbei und ich habe nichts vorzuweisen .","But then it starts to sound like this : "" My 20s are almost over , and I have nothing to show for myself .","but later later , this : "" my my are over , and i did nothing .",9.9
58,15,"Ich hatte einen besseren Lebenslauf , als ich gerade die Uni abgeschlossen hatte . ""","I had a better résumé the day after I graduated from college . ""","i had a better than when i had completed . """,13.35
59,20,"Und danach hört es sich so an : "" In meinen 20ern war Partnersuche wie die Reise nach Jerusalem .","And then it starts to sound like this : "" Dating in my 20s was like musical chairs .","and then it sounds like , "" my my was just like the journey . jerusalem .",5.75
60,24,"Alle liefen umher und hatten Spaß , aber dann mit 30 ging die Musik plötzlich aus und jeder fing an , sich hinzusetzen .","Everybody was running around and having fun , but then sometime around 30 it was like the music turned off and everybody started sitting down .","all all and had fun , but then 30 was all the and and began .",10.3
61,32,"Ich wollte nicht die Einzige sein , die stehen blieb . Ich denke manchmal , ich habe meinen Mann geheiratet , weil er in meinen 30ern der nächste Stuhl war . ""","I did n't want to be the only one left standing up , so sometimes I think I married my husband because he was the closest chair to me at 30 . ""","i did n't want the only ones ; i think sometimes i i my husband , because he was in my 30s the next chair . """,10.38
62,9,Wo sind die Leute in den 20ern hier ?,Where are the twentysomethings here ?,where are people in the ?,10.68
63,4,Macht das nicht .,Do not do that .,does n't .,14.13
64,20,"Ok , das ist zwar leicht gesagt , aber macht keinen Fehler , denn es geht um sehr viel .","Okay , now that sounds a little flip , but make no mistake , the stakes are very high .","ok , it 's easy , but no better , because it 's very much .",5.21
65,44,"Wenn vieles auf die 30er übertragen worden ist , gibt es da einen enormen Druck , in den 30ern schnell eine Karriere zu starten , eine Stadt auszuwählen , einen Partner und zwei oder drei Kinder zu haben in einer viel kürzeren Zeitspanne .","When a lot has been pushed to your 30s , there is enormous thirtysomething pressure to jump - start a career , pick a city , partner up , and have two or three kids in a much shorter period of time .","if lots of distance on the distance , there 's a enormous pressure pressure in the the the fast fast , a city , a city , a partner and two or three children in a three - dimensional . .",8.08
66,22,Viele dieser Dinge sind inkompatibel und wie Forschungsergebnisse jetzt zeigen einfach mühsamer und stressiger so alles auf einmal in den 30ern .,"Many of these things are incompatible , and as research is just starting to show , simply harder and more stressful to do all at once in our 30s .",many of these things are like and and now just show them and and and so suddenly everything in in the .,9.45
67,12,"Die Post-Milleniums-Midlife-Krise bedeutet nicht , sich einen roten Sportwagen zu kaufen .",The post - millennial midlife crisis is n't buying a red sports car .,it does n't mean to buy red red .,3.6
68,17,"Es bedeutet , dass man die Karriere , die man machen will , nicht machen kann .",It 's realizing you ca n't have that career you now want .,it means you you the career you want to do .,7.86
69,24,"Zu merken , dass man dieses Kind nicht haben kann , das man haben will , oder dem Kind keine Geschwister geben kann .","It 's realizing you ca n't have that child you now want , or you ca n't give your child a sibling .",remember that you ca n't have that child that you have to be or or child child . child .,23.07
70,35,"Zu viele Leute in den 30ern und 40ern schauen auf sich selbst und auf mich und sagen über ihre 20er : "" Was habe ich da gemacht ? Was habe ich bloß gedacht ? ""","Too many thirtysomethings and fortysomethings look at themselves , and at me , sitting across the room , and say about their 20s , "" What was I doing ? What was I thinking ? ""","too many people in the and and look at yourself and say , "" look , "" what what did i do ? """,4.31
71,14,"Ich möchte das ändern , was Leute in den 20ern tun und denken .",I want to change what twentysomethings are doing and thinking .,i want to change what people in the do do .,24.81
72,13,"Dies ist eine Geschichte , die zeigt , wie es ablaufen kann .",Here 's a story about how that can go .,this is a story that shows how it can .,11.04
73,7,Es ist die Geschichte von Emma .,It 's a story about a woman named Emma .,it 's the story .,5.17
74,23,"Emma kam in mein Büro , als sie 25 war , weil sie , wie sie es ausdrückte , eine Identitätskrise hatte .","At 25 , Emma came to my office because she was , in her words , having an identity crisis .","i came back to my office when she was 25 , because she did it .",11.32
75,31,"Sie sagte , sie würde gerne im Bereich Kunst arbeiten oder im Entertainment , aber sie hätte sich noch nicht entschieden , deshalb hätte sie in den vergangenen Jahren gekellnert .","She said she thought she might like to work in art or entertainment , but she had n't decided yet , so she 'd spent the last few years waiting tables instead .","she said she 'd like to work in in art , or not , but she would n't have decided to have started in the past .",14.33
76,22,"Weil das billiger war , lebte sie mit ihrem Freund zusammen , der mehr sein Temperament als seine Ambitionen walten ließ .","Because it was cheaper , she lived with a boyfriend who displayed his temper more than his ambition .","because the was was , with her friend who was more his office than his his . .",5.92
77,15,"Und obwohl ihre 20er hart waren , waren ihre Jahre davor noch viel schlimmer .","And as hard as her 20s were , her early life had been even harder .","and even their were hard , they were much worse .",3.56
78,30,"Sie weinte oft in den Sitzungen , aber dann sammelte sie sich und sagte : "" Deine Familie kannst du dir nicht aussuchen , aber deine Freunde schon "" .","She often cried in our sessions , but then would collect herself by saying , "" You ca n't pick your family , but you can pick your friends . ""","they were often in the local , but they decided and said , "" your family ca n't tell you , but your friends friends . """,9.72
79,15,Eines Tages kam Emma sehr niedergeschlagen an und weinte fast die ganze Stunde lang .,"Well one day , Emma comes in and she hangs her head in her lap , and she sobbed for most of the hour .","one day came very late , and cried almost all the hour .",6.71
80,43,"Sie hatte sich ein Adressbuch gekauft und sie verbrachte den ganzen Morgen damit , ihre vielen Kontakte einzutragen , aber dann starrte sie auf die leere Stelle , die nach den Wörtern kam : "" Im Notfall benachrichtigen Sie bitte ... "" .","She 'd just bought a new address book , and she 'd spent the morning filling in her many contacts , but then she 'd been left staring at that empty blank that comes after the words "" In case of emergency , please call ... . ""","she had a a , and she spent the whole morning to her her many , , but then she looked at the the place that came up , "" "" please please please please . """,9.4
81,26,"Sie war fast hysterisch , als sie mich ansah und sagte : "" Wer wird für mich da sein , wenn ich einen Autounfall habe ?","She was nearly hysterical when she looked at me and said , "" Who 's going to be there for me if I get in a car wreck ?","she was nearly , when she looked at me and she said , "" who 's going to be me for me ?",31.64
82,11,"Wer wird mich versorgen , wenn ich Krebs habe ? ""","Who 's going to take care of me if I have cancer ? ""","who will going me ? cancer ? """,11.03
83,17,"In dem Moment musste ich mich zusammenreißen , um nicht zu sagen : "" Ich "" .","Now in that moment , it took everything I had not to say , "" I will . ""","i moment i had to tell me to say , "" i . """,15.9
84,15,"Aber Emma brauchte keine Therapeutin , die sich wirklich , wirklich um sie kümmerte .","But what Emma needed was n't some therapist who really , really cared .",but fast needed no therapist that really really to them .,4.27
85,14,"Emma brauchte ein besseres Leben und ich wusste , dies war ihre Chance .","Emma needed a better life , and I knew this was her chance .",i needed a better life and i knew this was their opportunity .,27.58
86,24,"Ich hatte seit meiner ersten Patientin Alex zu viel dazugelernt , um nur zuzusehen , wie Emmas ausschlaggebendes Jahrzehnt sich in Wohlgefallen auflöste .",I had learned too much since I first worked with Alex to just sit there while Emma 's defining decade went parading by .,"i had met a lot of my , , to just , how media media were in in . .",3.73
87,26,"In den nächsten Wochen und Monaten gab ich Emma drei Ratschläge , die jeder 20-jährige , egal , ob Mann oder Frau , hören sollte .","So over the next weeks and months , I told Emma three things that every twentysomething , male or female , deserves to hear .","in the next weeks months months , i was three three , , every every , every man , or man .",8.59
88,18,"Erstens , erzählte ich Emma , sie hätte keine Identitätskrise , sie solle sich vielmehr ein Identitätskapital aneignen","First , I told Emma to forget about having an identity crisis and get some identity capital .","first , i told , she did n't have to ask a a .",3.02
89,15,"Damit meinte ich , sie solle sich etwas suchen , das sie weiterbringen würde .","By get identity capital , I mean do something that adds value to who you are .",so i me you you look something something you would . .,2.94
90,21,"Macht etwas , das für euch eine Investition ist , investiert in etwas , was ihr als Nächstes sein wollt .",Do something that 's an investment in who you might want to be next .,it 's something that you you a investment investment is something something you want to be next .,25.28
91,26,"Ich wusste nichts über Emmas beruflichen Werdegang und keiner weiß , wie die Zukunft der Arbeit aussieht . Aber ich weiß : Identitätskapital erzeugt Identitätskapital .","I did n't know the future of Emma 's career , and no one knows the future of work , but I do know this : Identity capital begets identity capital .","i did n't know anything about happiness , and nobody knows how the future of work . but i know .",11.9
92,21,"Jetzt ist also die Zeit für diesen internationalen Job , dieses Praktikum , diesen Startup , den ihr versuchen wolltet .","So now is the time for that cross - country job , that internship , that startup you want to try .","so now the time for this international job , this this , this particular idea that you try trying to . .",10.06
93,24,"Ich schmälere hier nicht die Entdeckungsreisen der 20er aber schon die , die nicht zählen , die übrigens auch gar keine Entdeckungsreisen sind .","I 'm not discounting twentysomething exploration here , but I am discounting exploration that 's not supposed to count , which , by the way , is not exploration .",i do n't miss the the the the but the that n't count .,1.35
94,4,Das ist Prokastination .,That 's procrastination .,this is enormous .,15.97
95,14,"Ich sagte zu Emma : Erkunde die Arbeitswelt , aber mach was draus .",I told Emma to explore work and make it count .,"i said , "" go down , but guess what .",3.75
96,11,"Zweitens , sagte ich : die urbane Sippschaft ist überbewertet .","Second , I told Emma that the urban tribe is overrated .","secondly , i think the urban is is .",8.59
97,50,"Gute Freunde sind prima , um zum Flughafen zu kommen , aber 20er , die aufeinander hocken mit Leuten , die so denken wie sie , grenzen damit ein , wen sie kennenlernen , was sie kennenlernen , wie sie denken , wie sie sprechen und wo sie arbeiten .","Best friends are great for giving rides to the airport , but twentysomethings who huddle together with like - minded peers limit who they know , what they know , how they think , how they speak , and where they work .","good friends are good for to come to the airport , but but , the the people with people people who think like the , of the , , they they to think about how they they how they work and they work . work where they work .",16.8
98,17,"Dieses neue Etwas , diese neue Person zum Verabreden kommt meistens von außerhalb des eigenen Umfelds .","That new piece of capital , that new person to date almost always comes from outside the inner circle .","this new new , new new emerged at the outside of the . .",3.01
99,18,"Neue Dinge entstehen aus sog. "" schwachen Bündnissen "" , also von Freunden von Freunden der Freunde .","New things come from what are called our weak ties , our friends of friends of friends .","new things comes out of "" and so friends friends friends friends friends friends friends friends friends friends friends friends friends friends friends friends friends friends friends .",3.51
100,14,Es stimmt : Die Hälfte der 20er ist unterbeschäftigt oder gar nicht beschäftigt .,"So yes , half of twentysomethings are un- or under - employed .","it 's true half of the , or or not busy .",7.84
101,15,Aber die andere Hälfte ist es nicht und schwache Bündnisse haben sie dort hingebracht .,"But half are n't , and weak ties are how you get yourself into that group .","but half other half , it 's not weak .",2.95
102,25,"Die Hälfte der Jobs sind nie ausgeschrieben worden . Wenn ihr also den Chef eures Nachbarn kontaktiert , erhaltet ihr einen nicht ausgeschriebenen Job .","Half of new jobs are never posted , so reaching out to your neighbor 's boss is how you get that un - posted job .","half the jobs never never stopped . so if you give your boss neighbors , you do n't get a job .",4.31
103,10,Das ist kein Betrug . So verbreiten sich Informationen .,It 's not cheating . It 's the science of how information spreads .,it 's not a . .,5.09
104,19,"Der letzte Rat : Emma glaubte , dass man die Familie nicht aussuchen könne , aber die Freunde .","Last but not least , Emma believed that you ca n't pick your family , but you can pick your friends .","the last advice : emma believed that you did n't save the family , but the friends .",12.6
105,32,"Dies stimmte für sie als sie aufwuchs , aber als 20er würde sie schon bald ihre eigene Familie aussuchen , wenn sie sich einen Partner aussuchte und eine eigene Familie gründete .","Now this was true for her growing up , but as a twentysomething , soon Emma would pick her family when she partnered with someone and created a family of her own .","this was for them as they grew , but as soon would soon soon their own family when they got a partner and a a family family .",7.95
106,15,"Ich sagte ihr , die Zeit , eine neue Familie auszusuchen , wäre jetzt .",I told Emma the time to start picking your family is now .,"i told her time , a new family family would be .",4.41
107,26,"Ihr werdet vielleicht denken , dass es mit 30 besser ist , sich niederzulassen als mit 20 oder 25 , und ich stimme euch zu .","Now you may be thinking that 30 is actually a better time to settle down than 20 , or even 25 , and I agree with you .",you may think that it 's 30 30 than than 20 or 25 and i agree .,4.36
108,26,"Aber irgendeinen , mit dem du schläfst oder lebst , in euer Leben zu lassen , wenn jeder auf Facebook heiratet , ist kein Fortschritt .",But grabbing whoever you 're living with or sleeping with when everyone on Facebook starts walking down the aisle is not progress .,"but if you you 're trying to or or , in your life , everybody on facebook is not progress .",13.21
109,32,"Die beste Zeit , um eure Ehe zu planen , ist , bevor ihr eine habt und das bedeutet , genauso zielstrebig in der Liebe zu sein wie bei eurer Arbeitssuche .","The best time to work on your marriage is before you have one , and that means being as intentional with love as you are with work .","the best time to to your marriage marriage , before you have a a and and means means to love your love in love .",10.73
110,36,"Eure Familie auszusuchen , bedeutet , bewusst den und das auszusuchen , was ihr wollt , und nicht , weil es funktioniert , oder mit irgendjemand die Zeit totzuschlagen , der euch gerade ausgesucht hat .",Picking your family is about consciously choosing who and what you want rather than just making it work or killing time with whoever happens to be choosing you .,"your family family , meaning , the the and and the the , you do n't , because it works , or working with the time that she has . .",3.49
111,6,Was geschah also mit Emma ?,So what happened to Emma ?,so what happened with emma ?,17.97
112,23,"Wir gingen ihr Adressbuch durch und sie fand den Mitbewohner einer Cousine , der in einem anderen Bundesstaat in einem Museum arbeitete .","Well , we went through that address book , and she found an old roommate 's cousin who worked at an art museum in another state .","we went through , and she found the the of a a in another in in another museum in a museum .",15.17
113,12,"Dieses schwache Band half ihr , dort eine Arbeit zu bekommen .",That weak tie helped her get a job there .,this weak band helped helped to get a work .,10.55
114,19,"Dieses Arbeitsangebot gab ihr den Grund dafür , ihren Freund , mit dem sie lebte , zu verlassen .",That job offer gave her the reason to leave that live - in boyfriend .,this one gave her reason for her friend who she lived with her .,6.29
115,12,"Jetzt , fünf Jahre später , ist sie Event-Planerin für Museen .","Now , five years later , she 's a special events planner for museums .","now , five years later , it 's safe for museums .",34.01
116,12,"Sie hat einen Mann geheiratet , den sie bewusst gewählt hat .",She 's married to a man she mindfully chose .,she killed a man that that you consciously . .,9.98
117,39,"Sie liebt ihre neue Karriere und ihre neue Familie und sie sandt mir eine Karte , in der stand : "" Jetzt ist die Zeile : ' im Notfall wenden Sie sich an ' nicht groß genug . ""","She loves her new career , she loves her new family , and she sent me a card that said , "" Now the emergency contact blanks do n't seem big enough . ""","she loves her new new and her new family and she gave me a card card , "" now is the line : "" in education , not not "" . """,15.97
118,21,"Emmas Geschichte klingt so , als wäre alles einfach . Aber das ist es , was ich an 20-jährigen liebe .","Now Emma 's story made that sound easy , but that 's what I love about working with twentysomethings .",sound history sounds like this . but that 's what i love to love .,13.56
119,9,"Es ist so einfach , ihnen zu helfen .",They are so easy to help .,it 's so easy to help them .,36.56
120,18,"20-jährige sind wie startbereite Flugzeuge , die gerade den Flughafen verlassen und sich irgendwo nach Westen begeben .","Twentysomethings are like airplanes just leaving LAX , bound for somewhere west .","there are like like planes planes , just the the airport and and somewhere .",6.92
121,21,"Genau nach dem Start kann ein kleiner Kurswechsel den Unterschied machen , ob man in Alaska oder in Fidschi landet .","Right after takeoff , a slight change in course is the difference between landing in Alaska or Fiji .","and after the can can make a make a difference , whether in alaska or in . .",3.52
122,36,"Das gilt gleichermaßen für 21- , 25- oder 29-jährige , ein gutes Gespräch , ein toller Urlaub , ein inspirierender TEDTalk kann eine enorme Auswirkung noch über Jahre und sogar über kommende Generationen hinweg haben .","Likewise , at 21 or 25 or even 29 , one good conversation , one good break , one good TED Talk , can have an enormous effect across years and even generations to come .","it applies equally for both , or or , a good conversation , a great of , a a can can an enormous impact over over and over and over generations generations .",6.21
123,15,"Dies ist eine Idee , die alle 20er erreichen sollte , die ihr kennt .",So here 's an idea worth spreading to every twentysomething you know .,this is an idea that all the the reach that you know .,14.46
124,14,"Es ist so einfach , wie das , was ich zu Alex sagte .",It 's as simple as what I learned to say to Alex .,it 's so just what i said to alex .,4.4
