id,src_len,source,reference,hypothesis,bleu
32,17,"Wir wissen , dass 80 % der prägendsten Momente , in der Zeit bis 35 passieren .",We know that 80 percent of life 's most defining moments take place by age 35 .,we 'll have to stop in the .,1.79
33,35,"Das bedeutet , dass 8 von 10 Entscheidungen , Erfahrungen und Aha-Erlebnissen , die aus eurem Leben , das machen , was es ist , bis ihr Mitte 30 seid , schon passiert sind .","That means that eight out of 10 of the decisions and experiences and "" Aha ! "" moments that make your life what it is will have happened by your mid-30s .","so , you 're , you 're , , , that 's , , you know ,",0.95
34,10,"Werdet nicht panisch , wenn ihr über 40 seid .","People who are over 40 , do n't panic .",you 're not talking about .,4.17
35,10,"Dieser Gruppe wird es gut gehen , glaube ich .","This crowd is going to be fine , I think .",i think it 's .,3.83
36,23,"Wir wissen , dass die ersten 10 Jahre eines Berufes eine exponentielle Auswirkung darauf haben , wie viel Geld man verdienen wird .",We know that the first 10 years of a career has an exponential impact on how much money you 're going to earn .,we have a lot of the that we have for the .,1.86
37,25,"Wir wissen , dass mit 30 mehr als die Hälfte der Amerikaner verheiratet ist oder mit dem zukünftigen Partner zusammenlebt oder eine Beziehung hat .",We know that more than half of Americans are married or are living with or dating their future partner by 30 .,"we 're going to be a , and the is that .",1.75
38,45,"Wir wissen , dass das Gehirn sein zweites und letztes großes Wachsen in den 20ern abschließt und sich für das Erwachsenenalter verdrahtet , was bedeutet , dass was auch immer ihr an euch verändern wollt , jetzt die Zeit wäre , dies zu tun .","We know that the brain caps off its second and last growth spurt in your 20s as it rewires itself for adulthood , which means that whatever it is you want to change about yourself , now is the time to change it .","so , the , the , , the , , the , , the , , and the , , and the , is that the is that .",2.29
39,37,"Wir wissen , dass die Persönlichkeit sich während der 20er öfter verändert als irgendwann sonst im Leben und dass die Fruchtbarkeit der Frauen mit 28 ihren Höhepunkt erreicht und dass nach 35 die Dinge kompliziert werden .","We know that personality changes more during your 20s than at any other time in life , and we know that female fertility peaks at age 28 , and things get tricky after age 35 .","the , the the that the the that the and the that the that the that the that that the",1.22
40,16,In den 20ern sollte man sich also weiterbilden über den Körper und die eigenen Möglichkeiten .,So your 20s are the time to educate yourself about your body and your options .,so you you have the the and you .,2.88
41,27,"Wenn wir an die Entwicklung eines Kindes denken , wissen wir alle , dass die ersten 5 Jahre für Spracherwerb und Bindung im Gehirn entscheidend sind .","So when we think about child development , we all know that the first five years are a critical period for language and attachment in the brain .",we 're going to the the of of the we 're in the,2.45
42,20,"Es ist die Zeit , in der das gewöhnliche , alltägliche Leben einen übermäßigen Einfluss auf die Zukunft hat .","It 's a time when your ordinary , day - to - day life has an inordinate impact on who you will become .","the , the is the the the that it .",1.23
43,23,"Aber wir hören wenig darüber , dass es da so etwas gibt wie Erwachsenen-Entwicklung und unsere 20er eine ausschlaggebende Zeit dafür sind .","But what we hear less about is that there 's such a thing as adult development , and our 20s are that critical period of adult development .",and we 're there are something that we 're there .,1.25
44,11,Aber das bekommen Leute in den 20ern nicht zu hören .,But this is n't what twentysomethings are hearing .,not the people in the .,4.92
45,9,Die Presse redet über die Zeitverschiebung des Erwachsenwerdens .,Newspapers talk about the changing timetable of adulthood .,the the the the .,5.71
46,8,Wissenschaftler nennen die 20er eine verlängerte Pubertät .,Researchers call the 20s an extended adolescence .,the 's is .,6.99
47,23,"Journalisten denken sich dumme Spitznamen für Leute in den 20ern aus wie "" Twixters "" oder "" Kidults "" [ Kind-Erwachsene ] .","Journalists coin silly nicknames for twentysomethings like "" twixters "" and "" kidults . ""","so , in the , "" the "" """,3.22
48,3,Das stimmt .,It 's true .,that 's true .,59.46
49,17,"Als Kultur haben wir das trivialisiert , was jetzt das entscheidende Jahrzehnt für das Erwachsenwerden ist .","As a culture , we have trivialized what is actually the defining decade of adulthood .",so what we think is is is the .,3.28
50,18,"Leonard Bernstein meinte , dass große Dinge mit einem Plan und etwas zu wenig Zeit erreicht werden .","Leonard Bernstein said that to achieve great things , you need a plan and not quite enough time .",and it 's a little bit of things that .,2.55
51,4,Stimmt das nicht ?,Is n't that true ?,right ?,11.16
52,32,"Was passiert also , wenn man jemandem in den 20ern den Kopf tätschelt und sagt : "" Du bekommst 10 Jahre zusätzlich , um etwas aus deinem Leben zu machen "" ?","So what do you think happens when you pat a twentysomething on the head and you say , "" You have 10 extra years to start your life "" ?","so , what 's going to do , , you you , , , """,2.64
53,3,Gar nichts .,Nothing happens .,nothing .,30.33
54,17,Dieser Mensch ist der Ambition und der Dringlichkeit beraubt worden . und es passiert gar nichts .,"You have robbed that person of his urgency and ambition , and absolutely nothing happens .",and it 's the .,1.41
55,56,"Und so kommen jeden Tag intelligente , interessante Leute in den 20ern wie ihr oder wie eure Söhne und Töchter zu mir in mein Büro und sagen so etwas wie : "" Ich weiß , mein Freund tut mir nicht gut , aber diese Beziehung zählt nicht . Ich schlage bloß die Zeit tot . ""","And then every day , smart , interesting twentysomethings like you or like your sons and daughters come into my office and say things like this : "" I know my boyfriend 's no good for me , but this relationship does n't count . I 'm just killing time . ""","so , i ' m not going to , and i , , , , and i , , "" , and , "" and , "" .",0.95
56,27,"Oder sie sagen : "" Alle sagen , solange ich es mit 30 Jahren geschafft habe , meine Karriere zu starten , ist alles gut . ""","Or they say , "" Everybody says as long as I get started on a career by the time I 'm 30 , I 'll be fine . ""","i ' ve been , , "" i , , "" i , """,2.31
57,20,"Aber später hört es sich so an : "" Meine 20er sind fast vorbei und ich habe nichts vorzuweisen .","But then it starts to sound like this : "" My 20s are almost over , and I have nothing to show for myself .","so , i , i , , and i .",2.07
58,15,"Ich hatte einen besseren Lebenslauf , als ich gerade die Uni abgeschlossen hatte . ""","I had a better résumé the day after I graduated from college . """,i had a i had .,4.74
59,20,"Und danach hört es sich so an : "" In meinen 20ern war Partnersuche wie die Reise nach Jerusalem .","And then it starts to sound like this : "" Dating in my 20s was like musical chairs .","so , the way i was , , was like .",4.01
60,24,"Alle liefen umher und hatten Spaß , aber dann mit 30 ging die Musik plötzlich aus und jeder fing an , sich hinzusetzen .","Everybody was running around and having fun , but then sometime around 30 it was like the music turned off and everybody started sitting down .","so , was , and , and , and .",1.27
61,32,"Ich wollte nicht die Einzige sein , die stehen blieb . Ich denke manchmal , ich habe meinen Mann geheiratet , weil er in meinen 30ern der nächste Stuhl war . ""","I did n't want to be the only one left standing up , so sometimes I think I married my husband because he was the closest chair to me at 30 . ""","i was the , i was , i was , i was , i was .",2.01
62,9,Wo sind die Leute in den 20ern hier ?,Where are the twentysomethings here ?,what are the people ?,19.36
63,4,Macht das nicht .,Do not do that .,not .,15.78
64,20,"Ok , das ist zwar leicht gesagt , aber macht keinen Fehler , denn es geht um sehr viel .","Okay , now that sounds a little flip , but make no mistake , the stakes are very high .",it 's not a lot of it 's .,1.67
65,44,"Wenn vieles auf die 30er übertragen worden ist , gibt es da einen enormen Druck , in den 30ern schnell eine Karriere zu starten , eine Stadt auszuwählen , einen Partner und zwei oder drei Kinder zu haben in einer viel kürzeren Zeitspanne .","When a lot has been pushed to your 30s , there is enormous thirtysomething pressure to jump - start a career , pick a city , partner up , and have two or three kids in a much shorter period of time .","so , a a , a , , , a a , , , , a a , , , a a , , ,",1.23
66,22,Viele dieser Dinge sind inkompatibel und wie Forschungsergebnisse jetzt zeigen einfach mühsamer und stressiger so alles auf einmal in den 30ern .,"Many of these things are incompatible , and as research is just starting to show , simply harder and more stressful to do all at once in our 30s .","so , the are and and and and and and .",1.0
67,12,"Die Post-Milleniums-Midlife-Krise bedeutet nicht , sich einen roten Sportwagen zu kaufen .",The post - millennial midlife crisis is n't buying a red sports car .,it 's not to buy .,2.14
68,17,"Es bedeutet , dass man die Karriere , die man machen will , nicht machen kann .",It 's realizing you ca n't have that career you now want .,you you can do to do that .,4.18
69,24,"Zu merken , dass man dieses Kind nicht haben kann , das man haben will , oder dem Kind keine Geschwister geben kann .","It 's realizing you ca n't have that child you now want , or you ca n't give your child a sibling .",you ca n't have to be able to have that you ca n't .,15.07
70,35,"Zu viele Leute in den 30ern und 40ern schauen auf sich selbst und auf mich und sagen über ihre 20er : "" Was habe ich da gemacht ? Was habe ich bloß gedacht ? ""","Too many thirtysomethings and fortysomethings look at themselves , and at me , sitting across the room , and say about their 20s , "" What was I doing ? What was I thinking ? ""","i ' m looking at what i ' m looking at , and i i",1.54
71,14,"Ich möchte das ändern , was Leute in den 20ern tun und denken .",I want to change what twentysomethings are doing and thinking .,i think what i do .,4.19
72,13,"Dies ist eine Geschichte , die zeigt , wie es ablaufen kann .",Here 's a story about how that can go .,it 's how it 's .,5.48
73,7,Es ist die Geschichte von Emma .,It 's a story about a woman named Emma .,it 's the story .,5.17
74,23,"Emma kam in mein Büro , als sie 25 war , weil sie , wie sie es ausdrückte , eine Identitätskrise hatte .","At 25 , Emma came to my office because she was , in her words , having an identity crisis .","she was , , was a , , , was ,",6.39
75,31,"Sie sagte , sie würde gerne im Bereich Kunst arbeiten oder im Entertainment , aber sie hätte sich noch nicht entschieden , deshalb hätte sie in den vergangenen Jahren gekellnert .","She said she thought she might like to work in art or entertainment , but she had n't decided yet , so she 'd spent the last few years waiting tables instead .","she would have been in the , , but they would have in the , .",2.31
76,22,"Weil das billiger war , lebte sie mit ihrem Freund zusammen , der mehr sein Temperament als seine Ambitionen walten ließ .","Because it was cheaper , she lived with a boyfriend who displayed his temper more than his ambition .","he was the the of his , , the .",2.41
77,15,"Und obwohl ihre 20er hart waren , waren ihre Jahre davor noch viel schlimmer .","And as hard as her 20s were , her early life had been even harder .","so , were were , and were .",4.5
78,30,"Sie weinte oft in den Sitzungen , aber dann sammelte sie sich und sagte : "" Deine Familie kannst du dir nicht aussuchen , aber deine Freunde schon "" .","She often cried in our sessions , but then would collect herself by saying , "" You ca n't pick your family , but you can pick your friends . ""","they , they , and they , but they , and they , and they , and they .",2.71
79,15,Eines Tages kam Emma sehr niedergeschlagen an und weinte fast die ganze Stunde lang .,"Well one day , Emma comes in and she hangs her head in her lap , and she sobbed for most of the hour .",and i was the same day .,0.71
80,43,"Sie hatte sich ein Adressbuch gekauft und sie verbrachte den ganzen Morgen damit , ihre vielen Kontakte einzutragen , aber dann starrte sie auf die leere Stelle , die nach den Wörtern kam : "" Im Notfall benachrichtigen Sie bitte ... "" .","She 'd just bought a new address book , and she 'd spent the morning filling in her many contacts , but then she 'd been left staring at that empty blank that comes after the words "" In case of emergency , please call ... . ""","so , the , , , the , , , and the , , , and , """,0.99
81,26,"Sie war fast hysterisch , als sie mich ansah und sagte : "" Wer wird für mich da sein , wenn ich einen Autounfall habe ?","She was nearly hysterical when she looked at me and said , "" Who 's going to be there for me if I get in a car wreck ?","i was going to be , , and i was , ,",3.64
82,11,"Wer wird mich versorgen , wenn ich Krebs habe ? ""","Who 's going to take care of me if I have cancer ? """,i i have ?,1.56
83,17,"In dem Moment musste ich mich zusammenreißen , um nicht zu sagen : "" Ich "" .","Now in that moment , it took everything I had not to say , "" I will . ""","i i was to say , "" i .",10.39
84,15,"Aber Emma brauchte keine Therapeutin , die sich wirklich , wirklich um sie kümmerte .","But what Emma needed was n't some therapist who really , really cared .","so , really , really , really .",10.43
85,14,"Emma brauchte ein besseres Leben und ich wusste , dies war ihre Chance .","Emma needed a better life , and I knew this was her chance .","i was a to , and i was .",6.88
86,24,"Ich hatte seit meiner ersten Patientin Alex zu viel dazugelernt , um nur zuzusehen , wie Emmas ausschlaggebendes Jahrzehnt sich in Wohlgefallen auflöste .",I had learned too much since I first worked with Alex to just sit there while Emma 's defining decade went parading by .,"i was to to to in the , , in fact ,",1.25
87,26,"In den nächsten Wochen und Monaten gab ich Emma drei Ratschläge , die jeder 20-jährige , egal , ob Mann oder Frau , hören sollte .","So over the next weeks and months , I told Emma three things that every twentysomething , male or female , deserves to hear .","i was , , , , , , , , , , , ,",1.7
88,18,"Erstens , erzählte ich Emma , sie hätte keine Identitätskrise , sie solle sich vielmehr ein Identitätskapital aneignen","First , I told Emma to forget about having an identity crisis and get some identity capital .","she 's , , i , she was a .",2.24
89,15,"Damit meinte ich , sie solle sich etwas suchen , das sie weiterbringen würde .","By get identity capital , I mean do something that adds value to who you are .",and i think you would to look .,2.36
90,21,"Macht etwas , das für euch eine Investition ist , investiert in etwas , was ihr als Nächstes sein wollt .",Do something that 's an investment in who you might want to be next .,what you 're doing is something that 's something you do .,11.15
91,26,"Ich wusste nichts über Emmas beruflichen Werdegang und keiner weiß , wie die Zukunft der Arbeit aussieht . Aber ich weiß : Identitätskapital erzeugt Identitätskapital .","I did n't know the future of Emma 's career , and no one knows the future of work , but I do know this : Identity capital begets identity capital .","i , i , i , i , but i know , .",1.8
92,21,"Jetzt ist also die Zeit für diesen internationalen Job , dieses Praktikum , diesen Startup , den ihr versuchen wolltet .","So now is the time for that cross - country job , that internship , that startup you want to try .","so , this is the to that this is the",3.18
93,24,"Ich schmälere hier nicht die Entdeckungsreisen der 20er aber schon die , die nicht zählen , die übrigens auch gar keine Entdeckungsreisen sind .","I 'm not discounting twentysomething exploration here , but I am discounting exploration that 's not supposed to count , which , by the way , is not exploration .","the fact , the n't n't the people who do n't .",0.99
94,4,Das ist Prokastination .,That 's procrastination .,this is .,19.72
95,14,"Ich sagte zu Emma : Erkunde die Arbeitswelt , aber mach was draus .",I told Emma to explore work and make it count .,"so , what i do .",3.53
96,11,"Zweitens , sagte ich : die urbane Sippschaft ist überbewertet .","Second , I told Emma that the urban tribe is overrated .","the is is , i think .",4.55
97,50,"Gute Freunde sind prima , um zum Flughafen zu kommen , aber 20er , die aufeinander hocken mit Leuten , die so denken wie sie , grenzen damit ein , wen sie kennenlernen , was sie kennenlernen , wie sie denken , wie sie sprechen und wo sie arbeiten .","Best friends are great for giving rides to the airport , but twentysomethings who huddle together with like - minded peers limit who they know , what they know , how they think , how they speak , and where they work .","so , the , they , they like to , they they , , they they , to , , they they , , , they they , to .",1.56
98,17,"Dieses neue Etwas , diese neue Person zum Verabreden kommt meistens von außerhalb des eigenen Umfelds .","That new piece of capital , that new person to date almost always comes from outside the inner circle .",the new is the new of the new .,2.1
99,18,"Neue Dinge entstehen aus sog. "" schwachen Bündnissen "" , also von Freunden von Freunden der Freunde .","New things come from what are called our weak ties , our friends of friends of friends .","so , from friends , from friends , friends .",4.96
100,14,Es stimmt : Die Hälfte der 20er ist unterbeschäftigt oder gar nicht beschäftigt .,"So yes , half of twentysomethings are un- or under - employed .",it 's not the case .,2.53
101,15,Aber die andere Hälfte ist es nicht und schwache Bündnisse haben sie dort hingebracht .,"But half are n't , and weak ties are how you get yourself into that group .","it 's not the the , it 's .",2.33
102,25,"Die Hälfte der Jobs sind nie ausgeschrieben worden . Wenn ihr also den Chef eures Nachbarn kontaktiert , erhaltet ihr einen nicht ausgeschriebenen Job .","Half of new jobs are never posted , so reaching out to your neighbor 's boss is how you get that un - posted job .","they were n't to get their money , so they get .",2.65
103,10,Das ist kein Betrug . So verbreiten sich Informationen .,It 's not cheating . It 's the science of how information spreads .,it 's the . .,4.2
104,19,"Der letzte Rat : Emma glaubte , dass man die Familie nicht aussuchen könne , aber die Freunde .","Last but not least , Emma believed that you ca n't pick your family , but you can pick your friends .","the the , the the was the the , .",1.66
105,32,"Dies stimmte für sie als sie aufwuchs , aber als 20er würde sie schon bald ihre eigene Familie aussuchen , wenn sie sich einen Partner aussuchte und eine eigene Familie gründete .","Now this was true for her growing up , but as a twentysomething , soon Emma would pick her family when she partnered with someone and created a family of her own .","they were to to a a , and they they would like to , and they them .",1.52
106,15,"Ich sagte ihr , die Zeit , eine neue Familie auszusuchen , wäre jetzt .",I told Emma the time to start picking your family is now .,"i was a , , i would .",2.96
107,26,"Ihr werdet vielleicht denken , dass es mit 30 besser ist , sich niederzulassen als mit 20 oder 25 , und ich stimme euch zu .","Now you may be thinking that 30 is actually a better time to settle down than 20 , or even 25 , and I agree with you .","and i , you know , you 're , , you know ,",1.46
108,26,"Aber irgendeinen , mit dem du schläfst oder lebst , in euer Leben zu lassen , wenn jeder auf Facebook heiratet , ist kein Fortschritt .",But grabbing whoever you 're living with or sleeping with when everyone on Facebook starts walking down the aisle is not progress .,"you 're going to be you 're having a , , ,",2.71
109,32,"Die beste Zeit , um eure Ehe zu planen , ist , bevor ihr eine habt und das bedeutet , genauso zielstrebig in der Liebe zu sein wie bei eurer Arbeitssuche .","The best time to work on your marriage is before you have one , and that means being as intentional with love as you are with work .","so , the to to you , to the , , to be , , to be , .",1.78
110,36,"Eure Familie auszusuchen , bedeutet , bewusst den und das auszusuchen , was ihr wollt , und nicht , weil es funktioniert , oder mit irgendjemand die Zeit totzuschlagen , der euch gerade ausgesucht hat .",Picking your family is about consciously choosing who and what you want rather than just making it work or killing time with whoever happens to be choosing you .,"so , you , , , , , , , , , , , , and you , ,",1.57
111,6,Was geschah also mit Emma ?,So what happened to Emma ?,so what happened ?,21.44
112,23,"Wir gingen ihr Adressbuch durch und sie fand den Mitbewohner einer Cousine , der in einem anderen Bundesstaat in einem Museum arbeitete .","Well , we went through that address book , and she found an old roommate 's cousin who worked at an art museum in another state .","he was a to the , and in the , .",2.2
113,12,"Dieses schwache Band half ihr , dort eine Arbeit zu bekommen .",That weak tie helped her get a job there .,"so , got to get this to work .",5.07
114,19,"Dieses Arbeitsangebot gab ihr den Grund dafür , ihren Freund , mit dem sie lebte , zu verlassen .",That job offer gave her the reason to leave that live - in boyfriend .,"she was to to the , she was to .",3.35
115,12,"Jetzt , fünf Jahre später , ist sie Event-Planerin für Museen .","Now , five years later , she 's a special events planner for museums .","for , , , for five years .",6.06
116,12,"Sie hat einen Mann geheiratet , den sie bewusst gewählt hat .",She 's married to a man she mindfully chose .,she 's a man .,9.88
117,39,"Sie liebt ihre neue Karriere und ihre neue Familie und sie sandt mir eine Karte , in der stand : "" Jetzt ist die Zeile : ' im Notfall wenden Sie sich an ' nicht groß genug . ""","She loves her new career , she loves her new family , and she sent me a card that said , "" Now the emergency contact blanks do n't seem big enough . ""","and she 's , , and she 's , , "" she 's , , "" and she 's .",5.15
118,21,"Emmas Geschichte klingt so , als wäre alles einfach . Aber das ist es , was ich an 20-jährigen liebe .","Now Emma 's story made that sound easy , but that 's what I love about working with twentysomethings .","i think it 's what i think is ,",3.11
119,9,"Es ist so einfach , ihnen zu helfen .",They are so easy to help .,it 's help you .,8.52
120,18,"20-jährige sind wie startbereite Flugzeuge , die gerade den Flughafen verlassen und sich irgendwo nach Westen begeben .","Twentysomethings are like airplanes just leaving LAX , bound for somewhere west .","so , the , the , and the is .",3.7
121,21,"Genau nach dem Start kann ein kleiner Kurswechsel den Unterschied machen , ob man in Alaska oder in Fidschi landet .","Right after takeoff , a slight change in course is the difference between landing in Alaska or Fiji .","it 's a to the , in the .",2.35
122,36,"Das gilt gleichermaßen für 21- , 25- oder 29-jährige , ein gutes Gespräch , ein toller Urlaub , ein inspirierender TEDTalk kann eine enorme Auswirkung noch über Jahre und sogar über kommende Generationen hinweg haben .","Likewise , at 21 or 25 or even 29 , one good conversation , one good break , one good TED Talk , can have an enormous effect across years and even generations to come .","so , a a of of , , , , , , , , , , , ,",1.18
123,15,"Dies ist eine Idee , die alle 20er erreichen sollte , die ihr kennt .",So here 's an idea worth spreading to every twentysomething you know .,so that 's what the that that .,3.52
124,14,"Es ist so einfach , wie das , was ich zu Alex sagte .",It 's as simple as what I learned to say to Alex .,"i just say , what 's .",3.94
125,41,"Ich habe das Privileg , diesen 20ern wie Emma jeden Tag mitzuteilen : Die 30er sind nicht die neuen 20er , macht euch also auf , erlangt ein Identitätskapital , nutzt eure schwachen Bande sucht euch eure Familie selbst aus .","It 's what I now have the privilege of saying to twentysomethings like Emma every single day : Thirty is not the new 20 , so claim your adulthood , get some identity capital , use your weak ties , pick your family .","so , the , , , the , , , the , , , , , , , , , , .",1.07
126,15,"Definiert euch nicht darüber , was ihr nicht wisst , oder nicht gemacht habt .",Do n't be defined by what you did n't know or did n't do .,you do n't know what you did n't .,19.58
127,8,Ihr entscheidet gerade jetzt über euer Leben .,You 're deciding your life right now .,you 're talking about .,6.97
128,3,Vielen Dank .,Thank you .,thank you .,55.03
129,41,"In der gesamten Computergeschichte , war es immer unser Ziel , den Abstand zwischen uns und digitalen Informationen zu verkleinern , die Lücke zwischen unserer physikalischen Welt und der Welt auf dem Bildschirm , wo wir unsere Vorstellungskraft ausleben können .","Throughout the history of computers we 've been striving to shorten the gap between us and digital information , the gap between our physical world and the world in the screen where our imagination can go wild .","so the the of the we have , the the of our , and the the the that we can .",3.01
130,34,"Und dieser Abstand ist kleiner geworden , kleiner und immer kleiner , und nun ist er kleiner als ein Millimeter , die Dicke einer Touchscreenscheibe , und Computer sind für jeden erreichbar geworden .","And this gap has become shorter , shorter , and even shorter , and now this gap is shortened down to less than a millimeter , the thickness of a touch - screen glass , and the power of computing has become accessible to everyone .","so , the , and , and it 's a little and , and it 's .",1.76
131,17,"Aber ich habe mich gefragt , wie es wäre , wenn es überhaupt keine Grenze gäbe .","But I wondered , what if there could be no boundary at all ?","i was , if i was , ,",3.1
132,10,"Ich habe mir vorgestellt , wie das aussehen würde .",I started to imagine what this would look like .,i would like what i would .,6.05
133,31,"Zuerst habe ich dieses Werkzeug entwickelt , welches in die digitale Welt eindringt . Wenn man also stark auf den Bildschirm drückt , verwandelt es die physikalische Figur zu Pixeln .","First , I created this tool which penetrates into the digital space , so when you press it hard on the screen , it transfers its physical body into pixels .","so , the the , the the , , the the , , the the .",1.56
134,20,Designer können ihre Ideen so direkt in 3D materialisieren und Chirurgen können an virtuellen Organen unter dem Bildschirm üben .,"Designers can materialize their ideas directly in 3D , and surgeons can practice on virtual organs underneath the screen .","so can can in the , and in the .",4.22
