Typo,Ground_Truth,Transformer_Score,Rank,Edit_Distance
lpved,loved,0.027904,6,1
Sn,Son,0.015935,10,1
C;oapping,Clapping,N/A,N/A,2
catner,canter,N/A,N/A,1
numbr,number,0.014952,9,1
proporiotnal,proportional,0.757413,1,2
silde,slide,N/A,N/A,1
DDcember,December,0.013902,14,1
wws,was,0.592255,1,1
Khruahcev,Khrushchev,N/A,N/A,2
Sotuhest,Southeast,0.447658,1,2
nned,need,0.032955,6,1
complaimts,complaints,N/A,N/A,1
stirctures,strictures,N/A,N/A,1
ad,added,0.030486,9,3
whch,which,0.323346,2,1
wa5ersed,watershed,0.061390,3,2
l4ss,less,0.231780,2,1
no5fjkon,notion,0.228949,1,4
reliious,religious,0.067735,4,1
tok,took,0.546269,1,1
srt,short,0.014426,14,2
thn,then,0.023587,2,1
Gyy,Guy,0.038880,5,1
te,the,0.206811,1,1
ktchen,kitchen,0.008171,16,1
wziters,waiters,N/A,N/A,1
mes,means,0.059619,4,2
imp0ksed,imposed,0.002247,62,2
partici-pation,participation,0.008711,18,1
Thee,There,N/A,N/A,1
waws,was,N/A,N/A,1
conrtol,control,0.005002,23,1
Rusisan,Russian,0.000299,82,1
Ys,Yes,0.008473,5,1
to,too,0.017797,11,1
dregrees,degrees,0.314457,1,1
ahout,about,0.004027,11,1
okcaxionally,occasionally,0.035511,7,2
thnse,the,0.098961,4,2
mtin,motion,0.019963,5,2
expreients,experiments,N/A,N/A,2
tte,the,0.877225,1,1
wws,was,0.573650,1,1
tye,the,0.043393,4,1
congregtaion,congregation,0.083902,3,1
caont,cannot,0.765694,1,2
konn,known,0.005537,25,2
"wwr,;d-wide",world-wide,N/A,N/A,3
dstrbution,distribution,0.321439,1,2
far-fulng,far-flung,N/A,N/A,1
Noncy,Nancy,0.006015,40,1
abot,about,0.896622,1,1
herslef,herself,0.012044,5,1
Nstional,National,0.006794,23,1
pssible,possible,0.005797,21,1
